Year,Month,Ozone 8hr Max,Daily AQI
2001,6,0.06425454545454545,83.8
2001,7,0.06255737704918032,78.0327868852459
2001,8,0.06972131147540984,100.8360655737705
2001,9,0.06735000000000001,92.15
2001,10,0.0626,78.88333333333334
2001,11,0.040035714285714286,37.035714285714285
2001,12,0.03833333333333333,35.4
2002,1,0.03754838709677419,34.54838709677419
2002,2,0.040607142857142856,37.57142857142857
2002,3,0.04532,42.08
2002,4,0.05007692307692308,48.26923076923077
2002,5,0.05812903225806452,68.2741935483871
2002,6,0.0684406779661017,95.52542372881356
2002,7,0.07431481481481482,113.27777777777777
2002,8,0.07506666666666667,115.53333333333333
2002,9,0.06341111111111111,83.25555555555556
2002,10,0.06282417582417582,80.35164835164835
2002,11,0.03876785714285714,38.964285714285715
2002,12,0.033358490566037735,30.9811320754717
2003,1,0.026564516129032257,25.048387096774192
2003,2,0.03592857142857143,33.32142857142857
2003,3,0.043225806451612905,40.11290322580645
2003,4,0.04888,47.093333333333334
2003,5,0.05436559139784946,60.096774193548384
2003,6,0.06216470588235294,80.14117647058823
2003,7,0.07188405797101449,107.2463768115942
2003,8,0.06870588235294117,98.13235294117646
2003,9,0.0698955223880597,102.46268656716418
2003,10,0.06127173913043478,80.65217391304348
2003,11,0.03643181818181818,33.72727272727273
2003,12,0.029516666666666667,27.466666666666665
2004,1,0.029951612903225806,27.838709677419356
2004,2,0.0394,36.527272727272724
2004,3,0.04546666666666667,43.18333333333333
2004,4,0.04995,52.8
2004,5,0.052097826086956525,58.619565217391305
2004,6,0.059409090909090904,72.89772727272727
2004,7,0.06564634146341464,88.13414634146342
2004,8,0.06515555555555555,86.73333333333333
2004,9,0.059130952380952374,72.39285714285714
2004,10,0.044813186813186814,47.989010989010985
2004,11,0.03552173913043478,32.95652173913044
2004,12,0.0296,27.466666666666665
2005,1,0.03195,29.6
2005,2,0.036,33.392857142857146
2005,3,0.04474193548387097,41.774193548387096
2005,4,0.04745,46.28333333333333
2005,5,0.045733333333333334,44.68
2005,6,0.05649180327868853,64.8360655737705
2005,7,0.06041304347826087,78.41304347826087
2005,8,0.059067415730337074,72.19101123595506
2005,9,0.054786516853932585,63.97752808988764
2005,10,0.043551724137931035,45.10344827586207
2005,11,0.02606896551724138,24.086206896551722
2005,12,0.024916666666666663,23.1
2006,1,0.041100000000000005,38.1
2006,2,0.046639999999999994,43.52
2006,3,0.053222222222222226,51.407407407407405
2006,4,0.054814814814814816,58.55555555555556
2006,5,0.05805263157894737,69.7719298245614
2006,6,0.061,77.44444444444444
2006,7,0.06426666666666667,83.38333333333334
2006,8,0.07059016393442623,101.39344262295081
2006,9,0.0643076923076923,82.66666666666667
2006,10,0.048529411764705876,48.11764705882353
2006,11,0.036681818181818183,33.95454545454545
2006,12,0.04013793103448276,37.206896551724135
2007,1,0.04111111111111111,38.074074074074076
2007,2,0.04036842105263158,37.421052631578945
2007,3,0.04605,44.6
2007,4,0.04906451612903225,49.306451612903224
2007,5,0.05947154471544716,70.90243902439025
2007,6,0.05693396226415094,66.5377358490566
2007,7,0.05496694214876033,61.02479338842975
2007,8,0.05750806451612903,66.08870967741936
2007,9,0.05589830508474576,64.33050847457628
2007,10,0.04741666666666667,47.56666666666667
2007,11,0.04296666666666667,39.833333333333336
2007,12,0.04306666666666667,39.9
2008,1,0.0453,42.13333333333333
2008,2,0.04751724137931034,44.03448275862069
2008,3,0.05009677419354838,46.354838709677416
2008,4,0.05879310344827587,65.06896551724138
2008,5,0.05407407407407407,59.01234567901235
2008,6,0.06648484848484848,89.82828282828282
